key_id,max_floor_avg_100,max_floor_avg_250,max_floor_avg_500,max_floor_avg_1000,max_floor_avg_2000,max_floor_avg_5000,max_floor_max_100,max_floor_max_250,max_floor_max_500,max_floor_max_1000,max_floor_max_2000,max_floor_max_5000,max_floor_min_100,max_floor_min_250,max_floor_min_500,max_floor_min_1000,max_floor_min_2000,max_floor_min_5000,max_floor_med_100,max_floor_med_250,max_floor_med_500,max_floor_med_1000,max_floor_med_2000,max_floor_med_5000,max_floor_mod_100,max_floor_mod_250,max_floor_mod_500,max_floor_mod_1000,max_floor_mod_2000,max_floor_mod_5000,max_floor_sd_100,max_floor_sd_250,max_floor_sd_500,max_floor_sd_1000,max_floor_sd_2000,max_floor_sd_5000,max_floor_NA_100,max_floor_NA_250,max_floor_NA_500,max_floor_NA_1000,max_floor_NA_2000,max_floor_NA_5000,build_year_avg_100,build_year_avg_250,build_year_avg_500,build_year_avg_1000,build_year_avg_2000,build_year_avg_5000,build_year_max_100,build_year_max_250,build_year_max_500,build_year_max_1000,build_year_max_2000,build_year_max_5000,build_year_min_100,build_year_min_250,build_year_min_500,build_year_min_1000,build_year_min_2000,build_year_min_5000,build_year_med_100,build_year_med_250,build_year_med_500,build_year_med_1000,build_year_med_2000,build_year_med_5000,build_year_mod_100,build_year_mod_250,build_year_mod_500,build_year_mod_1000,build_year_mod_2000,build_year_mod_5000,build_year_sd_100,build_year_sd_250,build_year_sd_500,build_year_sd_1000,build_year_sd_2000,build_year_sd_5000,build_year_NA_100,build_year_NA_250,build_year_NA_500,build_year_NA_1000,build_year_NA_2000,build_year_NA_5000,full_sq_avg_100,full_sq_avg_250,full_sq_avg_500,full_sq_avg_1000,full_sq_avg_2000,full_sq_avg_5000,full_sq_max_100,full_sq_max_250,full_sq_max_500,full_sq_max_1000,full_sq_max_2000,full_sq_max_5000,full_sq_min_100,full_sq_min_250,full_sq_min_500,full_sq_min_1000,full_sq_min_2000,full_sq_min_5000,full_sq_med_100,full_sq_med_250,full_sq_med_500,full_sq_med_1000,full_sq_med_2000,full_sq_med_5000,full_sq_mod_100,full_sq_mod_250,full_sq_mod_500,full_sq_mod_1000,full_sq_mod_2000,full_sq_mod_5000,full_sq_sd_100,full_sq_sd_250,full_sq_sd_500,full_sq_sd_1000,full_sq_sd_2000,full_sq_sd_5000,full_sq_NA_100,full_sq_NA_250,full_sq_NA_500,full_sq_NA_1000,full_sq_NA_2000,full_sq_NA_5000,count.clean_100,count.clean_250,count.clean_500,count.clean_1000,count.clean_2000,count.clean_5000,count.all_100,count.all_250,count.all_500,count.all_1000,count.all_2000,count.all_5000
65,NA,11,12.4,11.9259259259259,12.5333333333333,13.1602418745276,-Inf,12,17,17,22,32,Inf,9,9,9,9,3,NA,12,12,12,12,12,NA,12,12,12,12,12,NA,1.47709789175199,2.52148661246537,2.66353983346306,3.37473491191202,4.20737310488644,1,5,9,19,66,470,NA,1976.33333333333,1982,1979.17721518987,1978.27272727273,1982.50609756098,-Inf,1978,2013,2013,2013,2016,Inf,1975,1975,1974,1974,1942,NA,1977,1977,1977,1977,1978,NA,1977,1977,1977,1974,1975,NA,1.07308673997732,11.9031176809404,6.53150058085545,5.78935302012309,13.5029434658592,1,5,9,21,67,481,38,44.6529411764706,46.6758620689655,46.88,49.6307971014493,50.3119966536531,38,65,90,100.1,100.1,219.6,38,32,32,32,30,10,38,39,44,45,47,47,38,36.1111111111111,36.9333333333333,37.088,38.7905797101449,39.2361204013378,NA,10.9297825714341,13.3980450378941,12.5040599467339,13.7875580571942,15.7151993478416,0,0,0,0,0,0,1,17,29,100,276,1793,1,55,75,248,750,6535
88,12,12,11.9166666666667,12.1621621621622,12.7094017094017,12.8542568542569,12,12,14,17,22,32,12,12,9,9,9,3,12,12,12,12,12,12,12,12,12,12,12,12,0,0,1.08362466945083,2.70301799962677,2.91086415220894,4.17285017907554,1,1,3,9,64,512,1981.33333333333,1981.28571428571,1980.54545454545,1982.30555555556,1981.80786026201,1982.20244077531,1982,1982,1982,2013,2014,2018,1981,1981,1976,1968,1966,1942,1981,1981,1981,1981,1978,1978,1981,1981,1981,1982,1975.5,1975,0.577350269189626,0.487950036474267,2.06705763652765,9.25455700705471,13.3888448349914,14.4251663793808,1,1,4,10,69,505,52.55,52.85,53.1666666666667,50.6217391304348,48.2875838926174,50.280727081138,53.9,53.9,64.7,90,100.1,134,52,52,41,33,21,10,52.15,53,53,52,44.6,47,52,53.15,52.7375,58.2086956521739,38.041610738255,39.2106427818757,0.911043357914429,0.705083581671604,5.49111836991163,13.0617833229188,13.6939840388608,15.4432282774431,0,0,0,0,0,0,4,8,15,46,298,1898,8,18,31,106,748,7838
95,12,12.2222222222222,10.9130434782609,11.2727272727273,12.6265560165975,12.8590844062947,12,14,14,16,22,32,12,12,9,9,9,3,12,12,12,12,12,12,12,12,12,12,12,12,0,0.666666666666667,1.62125213894191,2.12803694192926,2.91432528032775,4.19438555337891,0,2,5,13,66,508,1981,1980.75,1979.22727272727,1979.37209302326,1981.54237288136,1982.23613086771,1981,1982,1982,2013,2014,2018,1981,1977,1976,1975,1966,1942,1981,1981,1981,1978,1977,1978,1981,1981,1981.5,1977,1974,1975,0,1.58113883008419,2.59911739931294,5.77772098674421,13.0626275860509,14.3207189960436,0,3,6,14,71,500,53.2,50.9818181818182,51.5607142857143,48.8719298245614,48.3973941368078,50.3703410283316,53.6,53.9,65,90,100.1,134,53,41,35,32,21,10,53,52.3,53,51,45,47,53,52.55,51.7,42.0689655172414,38.0512987012987,40.5260755508919,0.346410161513776,3.9478647853791,9.35787801546809,12.1294469663408,13.5238035020161,15.473681736995,0,0,0,0,0,0,3,11,28,57,307,1906,9,23,68,151,785,7852
107,11.25,10.6666666666667,12.8,11.8765432098765,12.6837209302326,13.1695817490494,12,12,17,17,22,32,9,9,9,9,9,3,12,12,12,12,12,12,12,12,12,12,12,12,1.5,1.58113883008419,2.76887462097269,2.73122095430497,3.52858356537448,4.15703757412236,2,5,7,19,67,454,1976.5,1975.88888888889,1980.4,1978.50632911392,1978.41588785047,1982.61042944785,1977,1977,2002,2013,2013,2016,1975,1975,1975,1974,1974,1942,1977,1976,1977,1977,1977,1978,1977,1975,1977,1977,1974,1975,1,0.927960727138337,8.42120339777319,6.60394873662238,5.88783498844976,13.4403002812311,2,5,7,21,68,465,44.35,42.5428571428571,44.30625,46.09,49.7599290780142,50.256393442623,65,65,65,100.1,100.1,219.6,32,32,32,32,30,10,39,39,39,42,47,47,39,34.8571428571429,36.1875,36.288,38.8375886524823,39.1191525423729,12.0405564655459,10.473902680598,9.97525769737465,12.5517876709803,13.8118028332238,15.61846577925,0,0,0,0,0,0,6,14,32,100,282,1769,18,38,84,250,762,6287
139,9,9.8,11.7333333333333,12.1594202898551,12.2697095435685,13.1204037490988,9,14,16,17,22,32,9,9,9,9,9,3,9,9,12,12,12,12,9,9,12,12,12,12,NA,1.75119007154183,2.22731217844062,2.6768242180405,2.80436332619073,4.18035781572112,0,2,7,16,67,514,1976,1976.55555555556,1979.79310344828,1980.17647058824,1979.89873417722,1983.04731182796,1976,1977,2013,2013,2013,2018,1976,1976,1976,1974,1966,1942,1976,1977,1977,1978.5,1976,1978,1976,1977,1977,1977,1974,1975,NA,0.52704627669473,6.79484736685941,6.74468541795551,10.9218273173597,14.418097920551,0,3,8,17,71,506,46,47.85,51.2567567567568,47,48.7133116883117,50.3586901630721,46,65,90,90,100.1,134,46,35,35,32,30,10,46,43.5,53,45.5,45.75,47,46,37.3666666666667,57.9631578947368,37.3813953488372,38.6402597402597,39.2235120925342,NA,12.3087921274333,12.2844196837688,11.4975152595183,12.9043127682104,15.4027180963981,0,0,0,0,0,0,1,12,37,85,308,1901,1,32,93,215,832,7987
158,NA,10.8333333333333,11.3703703703704,12.25,12.125,13.2257597684515,-Inf,15,16,22,22,32,Inf,9,9,9,9,3,NA,9,12,12,12,12,NA,9,9,12,12,12,NA,2.85773803324704,2.49843255705757,2.89122031840838,2.80334521502772,4.23970089597831,1,2,11,19,62,516,NA,1982.33333333333,1978.65384615385,1980.52112676056,1979.14027149321,1983.41582733813,-Inf,2013,2013,2013,2013,2018,Inf,1976,1975,1974,1966,1942,NA,1976,1977,1979,1976,1979,NA,1976,1977,1979.5,1974,1975,NA,15.0288611234074,7.27154623277502,7.47540568403114,9.36547129904465,14.4918152168147,1,2,12,20,65,508,65,49.625,48.3473684210526,47.010989010989,48.6912587412587,50.4303319283456,65,90,90,90,100.1,134,65,35,32,32,30,10,65,43.5,45.5,46,46,47,65,37,38.9578947368421,37.6391304347826,38.579020979021,39.2465331928346,NA,19.0558390001595,13.218797770949,11.4732486007858,12.3481496798214,15.4344350184545,0,0,0,0,0,0,1,8,38,91,286,1898,1,16,100,229,752,8058
174,11.25,10.8,13.1071428571429,12.0888888888889,12.712962962963,13.1583271097834,12,12,17,17,22,32,9,9,9,9,9,3,12,12,12,12,12,12,12,12,12,12,12,12,1.5,1.54919333848297,2.76672403841834,2.7340731619566,3.52941374913389,4.22308010462142,1,5,8,21,67,475,1976.5,1975.9,1981.60714285714,1978.52272727273,1978.40930232558,1982.62951807229,1977,1977,2013,2013,2013,2016,1975,1975,1975,1974,1974,1942,1977,1976,1977,1977,1977,1978,1977,1975,1977,1976.5,1974,1975,1,0.875595035770913,10.0455971034091,6.31724018151691,5.8740604320669,13.4914001158081,1,5,8,23,68,486,45.42,41.9733333333333,45.7444444444444,46.8585585585586,49.7872791519435,50.2736824696803,65,65,90,100.1,100.1,219.6,32,32,32,32,30,10,39,39,41.5,44,47,47,36.6666666666667,34.875,36.3888888888889,36.6857142857143,43.8584507042254,39.1315876515987,13.1389497297158,10.2547874998299,12.2580922413247,12.6640756649987,13.8444645728292,15.6371506701729,0,0,0,0,0,0,5,15,36,111,283,1814,17,41,92,279,769,6612
184,9,11.1428571428571,13.1851851851852,12.1290322580645,12.622641509434,13.1441241685144,9,12,17,17,22,32,9,9,9,9,9,3,9,12,12,12,12,12,9,12,12,12,12,12,0,1.40642169281549,2.64628966722258,2.71959798200593,3.48171344805723,4.23469186921248,1,6,9,20,68,483,1975,1976.28571428571,1981.74074074074,1978.85714285714,1978.32701421801,1982.61876396128,1975,1978,2013,2013,2013,2017,1975,1975,1975,1974,1974,1942,1975,1976.5,1977,1977,1977,1978,1975,1977,1977,1976.5,1974,1975,0,0.994490316197694,10.2078122141539,6.21748686023082,5.78850915050768,13.5959582171378,1,6,9,22,69,493,42,44.605,45.8527777777778,47.1044247787611,49.6575,50.2538779956427,60,65,90,100.1,100.1,219.6,32,32,32,32,30,10,38,39,40,45,47,47,32,35.5,36.5,37.059649122807,38.765,39.1318191721133,13.2664991614216,11.480623263844,12.5828565031068,12.3851321391282,13.8208434676653,15.7488715670093,0,0,0,0,0,0,4,20,36,113,280,1836,16,58,90,283,760,6702
206,NA,12.3333333333333,13.4285714285714,12.2337662337662,13.2342007434944,13.3121118012422,-Inf,16,17,17,22,32,Inf,9,9,9,9,3,NA,12,12,12,12,12,NA,12.3333333333333,12,12,12,12,NA,3.51188458428425,2.5933134645227,2.51781078621103,3.53882799194403,4.15572278917479,1,1,3,18,81,438,NA,1977.66666666667,1984.07692307692,1977.65789473684,1978.49626865672,1983.0987460815,-Inf,1979,2002,2002,2013,2016,Inf,1977,1976,1974,1974,1942,NA,1977,1980,1976,1977,1979,NA,1977,1989.5,1975,1974,1975,NA,1.15470053837925,10.3397416026831,5.62980788678488,5.58388406987738,13.4955492443564,1,1,4,19,82,450,32,43.275,49.7176470588235,48.6284210526316,50.6137142857143,50.1703707995365,32,52.1,100.1,100.1,100.1,219.6,32,32,32,30,30,10,32,44.5,46,47,52,47,32,52.05,38.7777777777778,45.2708333333333,44.5314285714286,39.1663383545771,NA,10.3361420913866,16.4365535961055,12.4314688469693,13.8714042989426,15.5146910343524,0,0,0,0,0,0,1,4,17,95,350,1726,1,6,39,247,938,6070
222,12,11.9090909090909,11.5,11.4893617021277,12.8228782287823,12.8295059151009,12,14,16,16,23,32,12,9,9,9,8,3,12,12,12,12,12,12,12,12,12,12,12,12,NA,1.13618180363404,2.2494443758404,2.27340331380005,3.17950505988866,4.19221563975361,0,2,5,13,83,530,1982,1980.54545454545,1979.32,1979.41304347826,1981.57518796992,1982.06578947368,1982,1982,1982,2013,2014,2018,1982,1976,1976,1975,1965,1942,1982,1981,1980,1978,1977,1978,1982,1981,1981.5,1977,1974,1975,NA,2.06705763652765,2.44472220644119,5.59593537789914,13.3443502624443,14.257671094228,0,2,6,14,88,523,53,54.2692307692308,50.1193548387097,48.8916666666667,48.9220338983051,50.2209557702084,53,64.7,65,90,100.1,134,53,46,35,32,21,10,53,53,52.3,51.5,45,47,53,52.6142857142857,55.425,57.5533333333333,38.1033898305085,39.2287703252033,NA,4.59717025560011,9.94342058364353,11.930438093689,14.0007272307673,15.4286309305863,0,0,0,0,0,0,1,13,31,60,354,1967,1,27,77,156,956,8069
244,12,13.3333333333333,13,11.9473684210526,12.9446808510638,13.2026925953628,12,17,17,17,22,32,12,9,9,9,9,3,12,12,12,12,12,12,12,12,12,12,12,12,NA,2.91547594742265,2.63964807038436,2.60673604117369,3.61400460404391,4.1799054428265,0,2,9,19,71,462,1976,1984.88888888889,1980.32258064516,1978.20212765957,1978.46153846154,1982.87858220211,1976,2002,2002,2013,2013,2016,1976,1975,1975,1974,1974,1942,1976,1977,1977,1977,1977,1978,1976,1989.5,1977,1975,1974,1975,NA,12.8495568449309,7.54270993199921,6.2313459897315,5.67282273605052,13.57548989309,0,2,10,20,72,473,45.5,43.3272727272727,46.6560975609756,46.9061403508772,50.4156862745098,50.1954752640356,45.5,65,100.1,100.1,100.1,219.6,45.5,32,32,32,30,10,45.5,39,44,44,51,47,45.5,36.1666666666667,36.6190476190476,36.819298245614,44.5928104575163,39.1867222222222,NA,9.89889801029295,13.4505027560402,12.6281977293528,13.9003012947511,15.5802344722956,0,0,0,0,0,0,1,11,41,114,306,1799,1,29,107,290,836,6425
254,9,11,11.6206896551724,11.969696969697,12.5730769230769,13.0436005625879,9,16,16,22,23,32,9,9,9,9,8,3,9,9,12,12,12,12,9,9,12,12,12,12,0,2.85356919363403,2.32092643299807,2.72294917588489,3.17301090732418,4.20609931818044,0,5,7,16,80,530,1976,1978,1980.17857142857,1979.67692307692,1980.4,1982.82587412587,1976,1982,2013,2013,2013,2018,1976,1976,1976,1974,1965,1942,1976,1977,1980,1978,1976,1978,1976,1976,1978,1979.5,1974,1975,0,2.28708749958746,6.85324238714283,6.16722104230223,12.0375397072959,14.4329642389609,0,6,8,17,85,522,35.6666666666667,49.01,50.8888888888889,47.3317073170732,48.7594117647059,50.2270338114754,36,65,90,90,100.1,134,35,35,35,32,30,10,36,48.5,52.5,45.75,45,47,36,37.72,57.7333333333333,37.3756097560976,38.2611764705882,39.1842827868852,0.577350269189626,12.2655658354255,12.373260980905,11.6837639593993,13.5112735494214,15.3451116424818,0,0,0,0,0,0,3,20,36,82,340,1952,9,54,82,212,964,8132
