order_id,products
2490468,47626 33819 23085 43565 3634 29774 49235 7781 19057 14999 9901 30391 1217 47305 42210 8424 21737 48370 47888 13083 3874 10547 11576 31564 33614 43875 38248 17261 9076 13176 1940 10673 17341 8638 34254 32211 5077 41950 9196 23023 5114
2883685,15772 13176
3014758,24852 37681 27316 11455 35914 14183 1395
2490472,18019
524393,49224 23650 30382 27845 19161 13176 16254 486
1572970,38689 45066 24852 37687
655468,2099 26251 21261
393325,46990 46226 36011 46650 45681
655472,18670
2883697,14140 18805
3407986,20842 13176
3145845,49440 45999 27104 12146 9080
1117321,20738 21292 17122 30827 4724 41596
524410,24964 24852 27156 22935 38689 4799 44632 22115
1572987,39386
2883708,5262 46627 27344
1704063,26165 13380 47209 21137 3765 30391 5876 21903 2966 39877 5077
1835136,16797 43295
1179777,21903 21137 24852 5428 41658 25466
2359429,35845 25124 11869 47962 23909 29615 27086 26604 24571
137,5134 24852 2326 38689 25890 41787 23794
2883723,32648 35851 28576 23986 22963 329 45007 27344 8277 20339
2490509,27845
2621582,744 5805
2883729,9623
1143509,38274 40233 22123 41427 31766 44310 7806
3145875,11777 21137 19057 27966
1835156,6087 21137 37687 22362
262293,24604 40113 26348
1116437,None
2359447,11811
3145880,24964 30391 26209
3408026,38689 28199 17706 39475 14901 27966 34497 18811
655515,11451 196 46149 21572 46061
1835164,44560 21009 2078 49192 8277 47209 17027 21137 36082 43768 11520 24838 30489 4920 27966 22935 27086 8174
3145885,21769 27839 196 37710 13535 35561 39657
917667,1542 27148 8228 9411
262308,24852
1376284,11520 28849 18618 13535 49247
917676,1039 30753 8277 7781 47209 25705 9839 47734 21137 5785 5876 40706 41757 27966 13176 37766 21903 41950 10749
524461,17931 16436 36431 22610 2170 45186 47242 38054 25793 16066 6901 36086 16647 24852 41293 37215 10084 23909 10623 15777 22959 44980 31672 31683 49614 20955 38890 22524
786606,26184 30305 19057 3800 47329 24852 36118 43961 34234
262173,22035 8728 48238 19057 20081 21137 22164 47766 20119 12456 7412 11520 24852 29996 28476 13629 35140 5479 31612 24964 21903 40396 27086
524465,35721 21435 35948 26872 23549
1704114,17469 32478
262323,41220
1114142,3624 39161
182,47672 47209 9337 41149 33000 11520 13629 5479 39275 32109
1202855,27521 5764 47626 2954 21903 23695 22677 47766 22935 36640 28204 18479 28601 8518 29514 45007 38739 6873 6489 11100 13031 24184 43772 4605 31614
3014845,10753 10761 40469 45 13870 3661 9825 43643 21137 24838 37646 24852 2855 35633 5450 43352 46969 24957 17794 17284 16797 34243 24518 35782 24024 11737 31717
3276991,24896 33731 26634 15693 35343 22640 39475 25629
2752704,31759 48015 8859 44189 9007 49079 13032 47977 21225
2228417,10132 35221 35628 39877 5450 35951 13176
1310914,36431 26209 5262 46932 49496 19805 9708
284566,6184 21903 46802 13176
808310,35842 45066 21903 26131 22035 17429 24852 9623 35221 6933 37022 47912 5161 29623 30391 5450 40396 21709 6348 4692 44632 12124 8174 5876 16757 41597
131270,49683 1560
1441825,37508 5646 38033 39190 28204 38730 19660 17878 33120 10343 47209 36724 23543 13176
2752715,45570 46979 47626 21137 22935 34126 31717 19057 13176
1502223,11140 31371 47626 24852 2716 1076 28745 42585 22760 36082 48894
2097358,45835 24852 14233 9755 28204 44085 16953 23753 16464 37467 37213 15976 33129 12285 16628
1551053,196 18443 40939 48532
3277008,26131 46667 18048 7338 37067 45866 39275 27502 16249 27548 19875 47029 44488 13776 5115
742776,46347 31766 28441 27307 34230 8022 352 33000 24561
1573074,11520 47626 21903 34584 11068 34126 8277 28373 40545 31717 6631 25705
1310931,48642 23554 23044 11786 16409 8230 6182 16953 47169 8773 27729 11352 18523 33381 28278 5764 5794 22198 43194 31467 20211 33572 38698 11576 26453 36724 13176 17789 39293 14233 24489 30635 32685 11199 26576 37852 10214 24041
1179863,24852 35221 44632
1310936,16797 48686 8881 4942
2228441,15937
1442010,5250 26629 45066 49683 24852 21914 31134 33716 31562 32465 39032 35708
2992847,44632 47209 24852 45866 21903 48057
131292,21137 21405 37687 36695 9839
655586,45537 17316 14633 38255 3283 19125
480635,24852 47766 34969 42265 18465 20899 21938 43643 44359 41950 20574 47209 43122 9595 10749
3277028,7673
1966309,22788 3856 24852 6679 16797 49198 38192 33845 34745 6852 20682 9547 10957 20561 31573 8920 4700 38241 43875 46572 28911 12785 45045
502481,32655 6948 11710 19660 27344
1704168,19972 9387 33000
608934,31720
2880591,None
3014891,45066 31371 47626 42265 35363 432 15290 5450 24799 33120 20842
1442028,24852 47766 46654
1573103,196 19660 9358
1872387,30720 11266 18679 5161 11451 37980 35561 11759 13176
1442033,24852
1442035,29388 4942 48179
2490612,26369 38533 47626 47766 22556 8518 31964 13176
2838667,None
39289,10258 49235 35173 37710
257,29837 37646 21137 24852 30233 39475 27966 49235 45013 27104
1179909,49235 12889
786694,47156 5564 27845 14183
1966343,None
2752776,4577
2490633,49235 37687
1845831,12805 26709 5212 46692 39032 22161 10914 6846 33658 13698 31667 43460
262411,20940 46129
262413,26165 34358 28985 39877 27104
1704206,11266 17924 21903 4149 13176 48761
1026776,None
1442066,41539 13809
2883859,24852
3014932,24838 21386 45453 24363 27966 35140 6341 39877 6218 25931 35547 32742 13292 5876
1310997,12023 11182 9047 6104 29307
3146007,17794 21137 30745 20015 35510 18880 44359 9550 12639 47734 13176
1311001,47209 5785 36550 9934 24852
786714,24852 34483
1179932,17566
770771,40706 37508 24852 29479 21162 11818 35887 10675 27061 15290 27845 10831 16981 43768 18811 16508
917792,35951 21137 47766 162 27845 44765 19678 44781 22298 37158 13176 46969 21903 32201
524577,34126
1311011,33120 38689 26369 17706 27662 13176 4920 35417
524582,49683 47144 27845 37646 49114
3277096,9839 19057 21137 47766 4793 23765 24852 12099 27521 5077
393513,46946 39276
393515,46088 16683
1900594,3594 4493 47766 38944
1573166,23047 45066 46906 27845
1179952,46984 21137 24852 49683 37141 27548 34335 162 35108 32691 22451 13113 46906 17600 45763 27845 13893 18382 46812 12892 32734 15074 5479 21614 35951 19057 9595
262451,30597 14005 27845 32710 41950 4713
917812,5258 21288 43352 20955 19691 9076 33147
2621749,39823 43552 18339 46650 3274 2905 20842 45437
3146038,44632 38689 23472
313,13198 21903 25890 30391 46906 45007 12779 28535 14077
524602,4674 15483 40063 1154 19078 27845 24267 47842 44779 4895 41805 37737 39275 3479 31678 3526 26604 2559
2075359,21137 11315 27966 19548 26604
3146045,45603 30776 47209 37067 22220 24838 18224 9583 7598 39877 8174
2359617,27677 23102 5782 14636 16257 26506 25493 17316 33754 42460 47611
3146051,46217 21137 24852 28199 22959 27086 30169 36961
786756,36070 47626 45066 49098 39275 24852 15290 43772 16797
1311045,18027 35512 9405 46346 28590 13249 31683 9689
1573190,7898 24852 20851 35272
917831,26152 32689 12341 32478 8048
1966408,31651 35887 17207 16953 16797
3298700,40706 21137 24852 30233 37917 6991
1048631,6184 12341 31805 30827 13176
2265197,28985 45948
1966416,16768 47626 27196
636345,260 24852 21791 36011 17600 27845 33120
786773,47766 8230 10060 32717 8021 5479
1835350,45066 47626 6155 21137 21157 28842 9387 24239 21709 5337 36070 40174 24852 4942 6506 39275 37766 1940 5069 42460 4605
2359641,39680 24852 5785 8859 311 46654 26824 27344 43352 19173 14715
1048922,32033 39618 24571 4879 45296 11983 19348 5077 23322 20955 4414
2097501,11777 258 28289 21903 21137 16797 39928 43961 37317 8518 27845 27344 26209 8424 39275 7021 13176 5115 10749
353,35561 40688 21137
3146083,26136 8733 15399 1096 10343 22142 28289 25231 35988 37019 19660 47848 33009 24830 43295 4935 5463 23385 38750 25466 46984 1476 24010 2545 13814
2730726,41220 45066 32139 47626 42768 16145 49683 27156 24852 42265 28590 47154 12341 28985 5450 25931 42592 18027 35951
677265,38539 20676 33120 45664 49385 9327
917864,3873 32691 26172 36691
2752873,None
3408239,17924 907 13176 23288
3103186,43523 9741 12817 48657 24615 48183 41019 43638 11422 4778 12508 47357 41729 47368 8460 24852 13077 40236 17204 4920 46941 27022 5077 27629
393585,19057
1048946,41010 26177 27845 31433 24852
1573235,5782 6631 39408
2858773,None
2883958,24852
655735,24838 30353 47766
2490744,27726 34483 14709 277 8475
3360693,46595 47144 25010 39928 31683 2280 13176 46203
2621818,45948 9212 47766 47388 40233 19057 13176 43772
2588173,45603 48679 49 45646 42585 28849 23236 8424 31467 27900 24830 2314 29987 16848 47059
3015039,7304 42122 35221 42265 1824 23375 44632 7916 5876 502 34295 4987
2097536,24964 21938 10749 8518 49235 13176
1180033,651 5388 32689 22802 16797
386,15872 260 38281 45066 39180 21903 24852 35221 47766 2326 42265 27156 6046 25513 37935 40759 4920 28985 36695 21479 22124 8174 30450 17652
2359683,49235 29333 35503 24852 18708 42265 47912 36205 17803 21903 35221
2490756,24852 5785
2577814,47626 47144 15937 47209 24852 25890 21903 34243
131462,27171 8277 12898 22124 9839 40571 4792 34050 24852 10025 8022 43352 16747 39275 24954 17794 3481 48600 39928
3146120,38368 21195 11885 44371
3277193,39968 28204 19068 21137 35522 32989 39180 11543 10036 9020 12099 24964 21938 4605
2643351,29869
262543,28934 45066 21903 17807 48785 5646 38293 47766 2732 19251 22451 14846 45007 45788 19678 34942
3015056,40706 48523 49683 34217 12206 12341 30391 41950 26209 31717 25718 13176
2905496,43122 21137 24852 30489 27966 37335
3277204,29223 21288 37687 17207 39108 32079 43352 30827 4724
1835413,47931 45489
131478,27521 24964 10504 45066 1463 42736
393625,38664 22610
2883994,40709 22035 42265 38689 6182 38453 7503 49235 48857 22113 16995 45681
2228637,47209 42091 40571 21137 12464 39180 24852 42265 47912 27966 38293 27104
414,21376 36865 44292 35221 20392 33320 27705 27845 21709 20564 48988 14947 21230 31215 31730
262559,15872 8204 44560 16417 39982 45104 12853 23619 26698 588 48210 6235 21083 6238 7781 36981 30340 20114 1688 26790 7338 6835 1744 5876 48893 11009 27398 28441 36164 38750 37241 16260 3464 8590 32156 46059 29675 8174 12784
178959,None
524705,45066 21903 42265 28204 2361 27966 9825 30962 13176
418,13702 5262 47766 30489 38694 40268 41950
1442211,10114 21137 37276 23233 46692 7156 12023
3408294,1398
524711,19871 21349 7533 29309
3364252,47626 26209 33401 23734 19660 6361 28934 25890 5479 13176 43394 16797 17316 2014
394725,26131 47912 8490 25385 9138 40396 23630 27344 13176
1704363,6155 8460 1940 1438 8375 13245 31818 12879 44632 21858 21100 12909 44925
675309,11520 29447 22035 21137 11422 37807 22963 12341 16185 27845 47209 4605
262574,45965 38164 22164 47766 37276 43165 25510 18471 47144 36809 31444 29669 31338 41198
917938,47626 22035 27344 260 24852 16185 27521 45445 21903 22935 18362 42445 13798
2228659,33351 33357 13944 49279 27281 11432 5819 40648 10957 35547 12508 27360 17122 3856 24852 39275 8070 19348 16797 22520
1049012,14947
437,30233 45106 47209 26790 22825 27966 365 13176 10132 16797 1463 4589
3277240,42598 38060
786874,19660 21292 21903 42265 16797
1180091,21137 24852 47658 5450 19660 23650
196874,21137 30494 21288 21292 32689 31805 196 13176 8953 8571
262590,30233 12343 21614 31343 19057 17600 23233 21709 29447 24852 1463 49621
502517,49628 32734
655808,21137 40723 42265
917953,26209
2621891,21903 38293 47766 41750 28849 41149 35951 9076 5876 24184
1966532,22108 19057 24241 30391 23233 7893 28439 34658 41360 1463 45544 4081
453925,47766 34362
655814,4137 36591 13176
1966535,39046 1559 27966 5077 10070 10851 39031 13176
1049032,47626 2086 34358 27086 39928
2752970,43295 41273 41433
2752971,47626 24852 16797 4920
1442255,24852 29204 16797 49191 16683 23734 15290 8536 13544 2160 49520 43768
2861816,49683 4920 27086 39121 4605
131540,39947 48679 8277 47209 24184 8324 21137 30391 24852 27966 17794 24964 2450 432 42450 30169 8671 32740 38383
1049045,35851 21137 24852 45210 27845 12384
2228694,6347 43961
1959915,9387 45763 44632
1704409,47626 5612 40571 28158
474,None
1638479,7308 14872 22553 3490 37029 22825 13627 21694 34126 45007 24535 16349 42736 20082 13176 12797
1682170,196 25824 26348 24852 37144 20282 47516 22959 45492 19948
1704415,14467 5785 46820 32655 21903
2359776,49416 10896 24852 47766 20119 39448 23579 47 1216 9554 41177 24673
1863666,None
3408354,5212 47209 21137 24852 13629 41861 27090
655843,39464 37460 26604
2097637,13176
2884072,21903 33000 4724 8571
3058428,44632 26209 35939 47209 40604 24852 27966 15700 31717
1398183,20561 24852 38279 19368
2359788,29447 24852 3952 32655 34208
393710,48805 10411 29487 35383 19145 48205
696576,23554 45066 26133 21543 35921 8277 14947 39529 9839 43122 32923 37029 46260 13500 27845 27336 7948 24852 9528 28985 27966 31553 19821 17794 21903 22963 27104 26604 29691
655856,35523 48857 9020
497,39947 27275 1831 31964
524787,47626 5902 14129 6347
1049078,27104
1311223,24838 9618 24852 11422 26017 6052 29363 45123 33357 18534
2359803,19470 35958 29307
1442300,30489
655870,41488 6182 18234 4932 24184 47209 13176 34044
1049088,38277 9864 40233 36651 6317 3504 3634 39361 1354 43858 47993
2861824,12817 4697 30850 15518 20259 33095 19836 19340
262658,21927 47766 21903
517,8193 44560 48679 31371 9387 27355 8424 37646 24852 25890 9071 13198 21903 2452 13819
1180166,13249
1966599,27392 34949 21775 46906 48720 31717 4462 25340
3364268,18439 18709 16920 35004 32573 30183 31981 43631 46842
786954,24852
1311243,47626 31883 49683 35221 36127 18465 33957 35503 37687 11462 20039 40396 9934 2770 42450 5883 44926
2753036,10753 33026 45698 24852 33198 14140 39115 15820 38480 9558 21868 39031
524814,12341 43352
262673,13029 45862 3763 35575 42719
305923,32679 40120 28371 20955 13176
655893,196 17924 13575 8617 12427 11759 30591
655894,40706 17796 7300 15623 3594 30992 24852 14996 28836 17316 28582 4920 43967 46282 15820 10195 10327 25952 37347 22882 3327 33780 7419 29695
524377,39561 24841 21903 14486 14633 47403 4920 41793 27845 30561 25588 13176
2359832,None
524825,47626 24852
393754,24852 42265 23579 25513 1090 45007 8424
2228764,4472
655450,38797 14353 24852 34449 5782 23322 2717
655902,21603 35140 13027
524831,37710 38928 13176
1311264,34827 13976 29363 34483 31423 17858 31981
2884132,24852
2140934,20995 46349 24852 36011 40366 38838 33845 11130 44479 41793 9424 12154 45537 44910 36735
2381233,47626 45066 23579 39971 48679 26209 12941 47766 28842 42736 25340 24838 24852 29987 27521 21903
1966634,47626 4605
655915,8555
2097708,7559 33198 43967
480690,36362 35383 26209 48229 6774 21137 26283 30391 39619 31433 46802 16616 5876 22260 40706 260 24838 39180 26384 24852 30489 3398 5450 42828 9058 3952 42356 13176 22935 6046 21938 43961 39877 48086 41950
116099,7948 38768
655919,21137 24852 8859 33754
868558,41362 4920
2352495,45603 7350 46485 14366 41319
1638494,8580 17798 14493 12965 31022 33588 19511 41273 12218 15290 8274 32747 31343 41722
393782,35849 43693 2234
1049145,196 9387 19660 13914
2300121,None
2359867,21903 25659 27966 13176 45948 17789
1704509,44632 26209 24852 28465 7521 23909 20345 27521 21903
655934,49544 43631
1463733,None
1049152,38400 35591 14861 30989 24852 35989 28842 45 41787 35921 6867 26209 14947 49520 20082
1180225,28931 24852 43295 13866 28204 5422 38318 13755 23909
3146308,24195 35221 196 44632 12253 20842
2439786,24852 16797
2818145,39040 12935 23304 28051 12456 12341 21174 27845 36554 48075 27344 49235 43504
1128309,26384 42768 24852 13984 6187 29487 35383 25659 8518 42445 48205 44910 4210
1049161,16283 19660 33768 33000 8048 13176
524875,907 5068 21903 12341 9213
524876,39190
2622029,22124 19156 15613 24852 45930 12212
918094,47366 24838 40332 31635 24852 7963 48946 14668 22882 35042 34027 8831
2797677,30391 28985 45007 47209
1049169,43409 24852 1364 33787
1311317,27521 17795 46755 22825 39877 8518 10326 12896 5479 47209 39275 8174 42483 22260 39928 12797
131670,20995 19604 47702 4210
2097753,11520 27845 24852 12341 28123
1049179,44035 26122 21057 37442 8277 21616 5258 47766 43695 27325 19660 48848 34005 36586 14074 24838 13598 43295 19272 40295 25980 24964 21903 2966 2979 25513 5564 45007 14805 8174
604,24852 16797 12099 28745 19660
1442397,907 44683
2228830,12640
2455467,39180 37646 21137 45 18272 47209 21616 13176
2675471,30233 24184 39101 24838 21903 2966 1463
2753121,29697 22024 14992 24852 29334 45862 15290 40897 22849 30406 5450 48205 23644 27104 31717 9076 10749
1049188,47626 6166 17323 21938 19766 20919 12614 30668 32465
655973,27392 40706 6532 32648 21513 8087 35871 18599 13363 37687 39928 17594 16570 42300 10172 13639 30290 42579 47209 8555 39275 8174 13176 39162 25340
2359912,45066 13712 26351 20723 13176 2298
131689,43622 37734 37927 21384 7598 31640 28149 45431
2877077,24838 9515 48015 1940 1464
2622059,44477
1311340,37774 9623 2722 45620 5428 49610 9047 13176
1150061,33548 2295
1835630,38928 43154 196 10310 3298 35561 11759 8571 45051 30591
3146353,45445 47626 24852 30489 48034 31915 4920 34497 7503 46676 34262 6871 25824 26209 20580 7781 25837 8174 41329
1704563,11182 15792 8116 43070 11714 5069 23256 33897 27246 7295
3277428,23199
1704565,46087 44051 24852 47766 34969 30489 31001 21019 6182 43086 33754 8424 38890 41844 33787 31231
262249,38799 24852 21019 9068 3957 7930
787064,12872 42139 2228 28862 4799 44753 35045 42736 43249 17652 28934 17160 10545 40765 41793 7559 46992 5020 36772 24489 1999 21497 33787 1017
3015290,11777 21646 37276 43295 28476 31720
2228859,9346 10827 30169 21616 19057 13176
3277436,11520 47766 1194 43182 47029 39928
3058453,21573 1870
2359937,38400 44683 21903 14992 49683 22935 42265 5450 45007 8277 39275 30450
1835651,2872 48093
895766,43803
1573510,14233
873921,7781 27845 26282 41066 21137 22963 24852 47766
1835656,14947 42731
1835657,30233 5876 24852 38689 13176
2359946,13702 22935 11512 17758 33768 21616 5876
3015307,28309 28703 9120 14126 27996 24669 49381
124476,28132 5479 21616 49075 20723
393870,15872 36878 26209 30353 12440 10409 25861 36107 43295 17706 27966 10070 13176 46979 35761 8174
1573519,16419 43693 2966
1180306,21903 16797 21292 43352
721006,27395 19076 5001 1940 25896 28092 47941 25936 45009 6991 21333 24925 19171 23277 49141 13176 46203
3277462,37646 31766 30489 9124 47144 18523 31343
1747737,31618 27845 29447 6348 39475
2491033,14084 21267 13176
2228890,28934 47626 24852 3481 29594 162 11440 32433 39475 27966 27845 5959 79 35951 30450 40310
3146395,34050 38928 32478
27937,2611 21137 27845 260 30489
2491040,24852 47141 432 49079 19660 41950
1966753,27020 28842 20914 47209 38768
918179,2086 35951 8021 8414
787109,24852 9471 18811 6969 34234 33772
2884262,14992 9755 39457 11182 31022 14643 2240 49354 7631 35921 38739 36316 34530 23011 37489 9076 32762
1317208,11777 40706 47626 21903 20114 1940 47766 23579 21288 32177 44632 26209 31717 23543
680,11908 30441 47977 27275 7693 30353 14836 7743
2228905,43352 19691 12341
1704618,47626 24852 13205 16797 29871 35921 30169 4957 27104 33787 10108
2544538,48523 40396 2361
3146416,30338 44310 25146 34619 38747 46692
2622129,None
1704626,None
3277492,49191 2091 8277 47209 43643 40571 47766 44765 40174 11520 37646 24852 1907 45504 4605
2272030,45603 4142 45123 46667 26209 21137 43165 31915 30391 34530 46820 45302 26369 24852 48935 44359 33120 39275 16759 4472 27521 21405 22947 35750 23484 39877 31717 39928
3015350,8195 47877 24749 25844
1442489,46817 16486 33065 6442 21936 42553 9755 44156
656059,21903 47890 33572 17872 44142 13176 43772
2884284,1160 33198
2884285,196 17957 40939
918206,33572 21903 48720 29487 35510 43772 34335
2883701,34050 1947 33754 47209 36216
918212,44548 5386 48524 6416 40348 42043 26944 8898 196 35672 23909 48364 12140 3696
1180357,7185 32786 9766 49235 21616 29370 42701 43234 40706 21872 26604
1944353,24838 47242 35473
724534,None
2992930,None
3146446,15872 10761 5130 47626 17948 28204 27695 17461 20574 26209 47209 26751 28289 651 47766 4799 21709 44765 30442 6384 23801 40706 260 33540 33043 10006 42265 10528 4920 11068 32578 4945 43352 10603 13176 2452 3487 38313 7088 33731 11737 14814 28132 10749
2884303,34243 46277 40742 23499 31883 13808 22963 24852 48628 44471 5785
787152,46979 5902 31762 24852 12962 4137 28204 36792 19904 27086 33368 4317 8567 42623
2884308,10326 37980 33768 13176 23423
656085,7781 36011 27966 5479 32655 1935 21903 22935 1463 27113
1216825,None
3408600,10125 17630 20082 895
2884315,13573 21137 5785 30233 30776
2622172,3599 22035 48679 47209 19057 10369 17027 21137 5808 27845 5876 11520 24838 37646 22825 11576 2368 3951 13176 5077 24561 39928
1311453,None
2753251,47626 15386 544 12324 32315 23700 48808 10957 21709 46823 9463 24852 43295 41264 32605 26493 27012 45968 34234 27581 32727 11233 24551 4605
1049317,46979 41220 24852 47766 34969 2295 38944 38689 10017 35108 28204 39619 19660 20309 26201 26209
655484,47766 22935 27104 36070 31853 42615
1049322,37646 14992 24852 49098 46676
1311468,19977 45369 582 48205 39891 19291 6497 16489
3277549,29987 38374 48283 19821 26738 13592
2293885,40777 2643 13176 11422
3408626,10849 43619 29691 19660 38453 10779 27548
1463763,None
393973,46088 29313 30850 11983 5450 36716 37817
758,651 19660
3015415,45570 33320 28226 8277 5212 47209 35951 21137 16570 5876 13083 27966 13176 48007 19348 5077 39928
656120,27845
525050,29454 2962 11421 16290 8615 14766 432 48822 27086 25069 37103
3015419,16696
2491132,None
1289002,None
787198,32665 14233 19488 1194 27954 17334 29112 24891 27966 48090 16741 7790
1442560,44632 21137 5785 4799 13176 11140 32655 27104
2228993,47626 21543 27227 47766 24221 47788 5373 15630 24852 39275 31611 21903 3481 31727 10749
1442563,14337 42240 5785 38949 18988 27325 10851 14947 19057
3408645,24852 14645 16234
349655,1937 28862 8022 46049 13031 32757
1872405,28928 7559 45066 21137 24852 18465 24235
3342466,45603 49191 43068 21616 17038 47780 2322 2846 8518 39275 28527 27521 2482 14781 29127 5073 31717
3408654,None
2075437,47788
1966864,28427 47888 24852 14999 40348 44325 38192 35923 5077 14168 48871 3696 17264
2512344,7559 10761 24841 47626 46992 24852 22935 21403 5918 1443 6948 38313 9387 13740 46667 1099 1999 29660 26209 39275 38383 35951 24561 17652
2884370,30226 21137 25305 7521 18841
3146515,40709 23955 2617 48705 11225 27104
3221873,None
1660377,14218 21903 37067 47209 20082
1966875,38275
3408668,38028 5883 22825 30391 37947 33731 45007 8277 17878 42342 10343 35951
2753312,27521 24852 38293 30233 47388 2086 4656 25146 8021 43352 46820 5479 18027 7156
656162,21903 24852 34358 4920 32465 9076
1066687,None
2415315,8803 31759 21137 36472
918310,27521 46979 24964 45063 24841 39947 37646 10385 31506 22035 24852 35221 27156 30489 30233 12576 26790 36011 35628 11182 47025 43961 27845 36695 44632 19678 49383 1896 47209 48745 365 7156 16759
2753321,10761 21137 18581 6300 18465 49191 22825 21162 17706 28199 28597 4920 44479 27086 5077 17630 7911 19820 19057 13176 5114
1763293,21903 21137 47766 46505 39928 13176 10749
2097963,30720 23685 24964 21903 21137 20114 22935 3481 18465 48679 21938 39475 28985 25146 27845 39877 44359 46667 45007 2913 47209 40174 19057 43122 13176 15741
2097964,46475 27086 30169 36603 18683
918318,9755 5819 15424 43986 33129
1180463,44157
2753329,9508 21936 7371 7413
2753332,24852 1695
2229045,49664 11520 41858 7049 5646 37646 25872 14112 22963 26165 30391 10305 18883 36164 33352 8138 8654 8277 5212 33120 26209 35939 5876
3408696,537 23734 16696
2622265,45066 43643 21137 37029 27315 27845 4920 8006 35688 13176 9159 6104
2097978,10840 47196 22227 24838 24852 43295 35688 47990 28054 9162 26604
1049404,27521 33198 43001
2229054,47766
3015488,28931 3717 24852 25638 34214 28204 15404 13626 35004 32211 16489
851109,16953 30827 21635 13966 13462 1700 27313 695 12986 196 32478 25833 34027 29487 11581 37229 21879 13194 11163 10145 40354 5077 15840
525122,28204 4210 11512 24852 8474 41787 17758 16797 5077
262979,48679 22089 19048 35951 7806 28289 8859 28842 4796 26369 24852 42265 15649 21872 17871 45007 6104 29675
394052,24852 9547 1463
3255094,None
2753350,23288
918343,35458 29064 47626 8475 6187 37553 21938 33852 34013 3039 41314 21227
2753354,44375
1354551,48523 24852 17304 45603 21543 432 26032 46531 19660 16882 13560
262990,30946 39332 44517 35269 7131 13424 38928 10258 41400 8571
1442639,10509 39534 48142 8048 9434 31805
1747768,22035 36396 13870 41519 47209 10863 41605 32935 27325 37067 15063 29447 27966 21841 38751 12146 17284 17807 32689 18362 11193
1835860,38050 48645 13176
1558162,15872 10753 16908 27156 11408 5785 5321 36126 29487 38739 28021 16759 13176 457 42445 42460 49131 46575 37876
2229080,46802
808420,40332 34841 21288 32433 16953 49605 31564 5077 39275 4605
525150,45066 21137 24852 47766 44570 24489 22825 29871 25670 46802 5463 26084
2622303,27845 21497
2098018,24852
1966947,11777 31618 34050 37646 21137 2962 20899 9405 17487 25949 47209 43122
1966948,3457 24838 22935 31717 5479 47734
1704807,8710 10106 27695 19660 14074 17149
787306,48775 47626 48395 49683 19348 30489 8859 36640 47526 28985 15290 11068 39877 44359 32717 45007 41950 47209 9839 22256 19057 35951 44404 24830
2622318,11777 17794 3843 48900 21903 38419 24852 30489 25890 45603 25513 47156 20794 581 36550 5450 24035 27625 4472
2992957,5009 2108 33106 23291
918384,24964 22935 34126 27104 5876
2905576,45185 47766 18725 9901 47409 37940 20156 15424 47940 46023 37066 9839 12159
